task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
7	e1/5471c2	706ea464-ed57-4356-965f-ef02ae77d993	sourmash_compute_sketch (SRR4050384_pass_molecule-protein_ksize-9_log2sketchsize-16)	CACHED	0	2019-03-12 10:58:45.217	9m 35s	9m 6s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
1	19/4a7199	2db8d7c1-163d-468f-86f7-931da2884a10	sourmash_compute_sketch (SRR4050383_pass_molecule-protein_ksize-9_log2sketchsize-16)	CACHED	0	2019-03-12 10:58:45.560	6m 44s	6m 17s	0.0%	3 MB	19.3 MB	7.5 KB	0
2	82/a7378e	27a7efb3-4a20-4734-9778-772506e43174	sourmash_compute_sketch (SRR4050382_pass_molecule-protein_ksize-9_log2sketchsize-16)	CACHED	0	2019-03-12 10:58:45.215	41.1s	7.9s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
8	82/3e7a58	fc6a00de-ab1f-401d-bfa9-a5f1210b7d68	sourmash_compute_sketch (SRR4050386_pass_molecule-protein_ksize-9_log2sketchsize-16)	CACHED	0	2019-03-12 10:58:45.217	6m 44s	6m 16s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
3	f9/65c3b2	d9b01e2e-6791-4f1c-9d73-716abd0b9c1b	sourmash_compute_sketch (SRR4050385_pass_molecule-protein_ksize-9_log2sketchsize-16)	CACHED	0	2019-03-12 10:58:45.733	9m 24s	8m 58s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
5	f9/f3d03d	de5c9639-4e98-40ce-8045-db3486b0b668	sourmash_compute_sketch (SRR4050381_pass_molecule-protein_ksize-9_log2sketchsize-16)	CACHED	0	2019-03-12 10:58:45.564	7m 24s	6m 56s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
6	99/5ca64c	4b0d61b7-9beb-4948-b7ae-594323dea36f	sourmash_compute_sketch (SRR4050380_pass_molecule-protein_ksize-9_log2sketchsize-16)	CACHED	0	2019-03-12 10:58:45.217	2m 1s	1m 28s	0.0%	3 MB	19.3 MB	7.5 KB	0
4	4e/934a06	115b5593-db4d-4bde-afc9-91451cfc1ee9	sourmash_compute_sketch (SRR4050379_pass_molecule-protein_ksize-9_log2sketchsize-16)	CACHED	0	2019-03-12 10:58:45.217	3m 11s	2m 36s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
12	31/ea3578	b9538b68-b9d3-48aa-a633-49367b153eb5	sourmash_compute_sketch (SRR4050390_pass_molecule-protein_ksize-9_log2sketchsize-16)	CACHED	0	2019-03-12 10:58:45.590	8m 45s	8m 16s	0.0%	3 MB	19.3 MB	7.5 KB	0
15	1f/9304f1	b109803e-abb0-4600-aefe-c34cce47c25a	sourmash_compute_sketch (SRR4050393_pass_molecule-protein_ksize-9_log2sketchsize-16)	CACHED	0	2019-03-12 10:58:45.385	8m 25s	7m 53s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
9	7e/f47c1f	93f5d423-eef0-4d4d-8e1c-8f457bec23f7	sourmash_compute_sketch (SRR4050387_pass_molecule-protein_ksize-9_log2sketchsize-16)	CACHED	0	2019-03-12 10:58:45.217	9m 15s	8m 44s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
10	cb/2423bb	5c52df0c-20a2-497f-95ba-c52ba98a0e97	sourmash_compute_sketch (SRR4050388_pass_molecule-protein_ksize-9_log2sketchsize-16)	CACHED	0	2019-03-12 10:58:45.050	4m 32s	4m 6s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
13	53/f2562c	8a9cdaa8-75e5-4f4b-8639-f7b569a97633	sourmash_compute_sketch (SRR4050391_pass_molecule-protein_ksize-9_log2sketchsize-16)	CACHED	0	2019-03-12 10:58:45.560	5m 33s	5m 6s	0.0%	3 MB	19.3 MB	7.5 KB	0
14	1e/d8bb7f	5f947229-fd0e-496e-8620-52953c6bd68e	sourmash_compute_sketch (SRR4050392_pass_molecule-protein_ksize-9_log2sketchsize-16)	CACHED	0	2019-03-12 10:58:45.218	7m 14s	6m 42s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
