task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
7	de/3c0b21	60976217-1c7e-49a0-a1a9-456052f57e1f	sourmash_compute_sketch (SRR4050380_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:22.752	2m 49s	1m 58s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
3	ce/d1b1d8	b78a5212-5c4c-47e4-899e-f6b0b3614aa7	sourmash_compute_sketch (SRR4050386_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:22.684	4m 29s	3m 54s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
1	29/13d399	92aca587-56cb-450a-9669-294daec7e942	sourmash_compute_sketch (SRR4050379_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:22.676	3m 9s	2m 41s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
6	a5/52dcc7	9aacb120-c2a7-451d-8f7c-261671286361	sourmash_compute_sketch (SRR4050382_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:22.753	1m 29s	6s	0.0%	3 MB	19.3 MB	7.5 KB	0
5	00/fb8fcd	be827b3d-da45-41b7-aef4-6be9015dfb0b	sourmash_compute_sketch (SRR4050383_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:22.692	4m 19s	3m 55s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
4	3c/5373af	0ec3eb80-2d69-4df5-850d-464bf98cca5b	sourmash_compute_sketch (SRR4050385_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:22.760	10m 49s	10m 5s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
8	e7/8aa322	a6a6a7ee-b41d-4d2b-b383-f3b47f367938	sourmash_compute_sketch (SRR4050381_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:22.740	4m 49s	4m 11s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
2	bc/3d4bec	7ebf3843-bdc6-4039-8b9e-2acdafdcd04b	sourmash_compute_sketch (SRR4050384_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:22.713	6m 9s	5m 32s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
16	9d/6809e4	24e166ee-4f89-43de-8aad-adba458296f2	sourmash_compute_sketch (SRR4050394_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:22.887	6m 9s	5m 39s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
12	0e/e5dc2b	440956cb-4130-4572-bd94-5f1115130fdb	sourmash_compute_sketch (SRR4050390_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:22.804	5m 29s	4m 46s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
10	c0/aa6652	9879f2ef-10a9-4cdc-ac78-d7b2edac7f11	sourmash_compute_sketch (SRR4050388_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:22.692	3m 9s	2m 38s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
14	fc/cc654b	c3416154-7f60-4483-a5fa-4c6fe8b6540c	sourmash_compute_sketch (SRR4050392_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:22.775	7m 59s	7m 28s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
15	fc/85ad86	94e6c36e-6f63-4607-a48a-ea4c61b55133	sourmash_compute_sketch (SRR4050393_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:22.787	8m 59s	8m 34s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
9	70/063e14	0a9c1c20-85be-4cda-87fb-8c06a2504414	sourmash_compute_sketch (SRR4050387_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:22.621	10m 59s	9m 57s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
13	63/bc2ce6	6bb41ad6-0336-4438-92f3-dd055a74f724	sourmash_compute_sketch (SRR4050391_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:22.754	3m 39s	3m 6s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
